name,total,from_small_donors,party,clean_name
                          Tanner Do (D),16947,3177,D,                          Tanner Do
                          Lorie Burch (D),40045,16090,D,                          Lorie Burch
                          Van Taylor (R),979466,12787,R,                          Van Taylor
                          John Lee Ratcliffe (R),268251,2480,R,                          John Lee Ratcliffe
                          Lance Gooden (R),732960,2360,R,                          Lance Gooden
                          Stephen Daniel (D),111000,13405,D,                          Stephen Daniel
                          Ron Wright (R),276933,4800,R,                          Ron Wright
                          Maria Espinoza (R),10835,935,R,                          Maria Espinoza
                          Wesley Hunt (R),977636,56486,R,                          Wesley Hunt
                          Cynthia Siegel (R),327793,13325,R,                          Cynthia Siegel
                          Jim Noteware (R),34735,380,R,                          Jim Noteware
                          Lizzie Fletcher (D),1720108,85043,D,                          Lizzie Fletcher
                          Kevin Brady (R),1311870,2285,R,                          Kevin Brady
                          Jon Mark Menefee (R),31762,4357,R,                          Jon Mark Menefee
                          Johnny Teague (R),17340,1770,R,                          Johnny Teague
                          Melissa Mechelle Williams (D),31515,0,D,                          Melissa Mechelle Williams
                          Al Green (D),142205,6655,D,                          Al Green
                          Shannon Hutcheson (D),532813,33728,D,                          Shannon Hutcheson
                          Pritesh Gandhi (D),527368,61198,D,                          Pritesh Gandhi
                          Mike Siegel (D),344642,92102,D,                          Mike Siegel
                          Michael McCaul (R),1209859,33878,R,                          Michael McCaul
                          J. Ross Lacy (R),144336,1700,R,                          J. Ross Lacy
                          August Pfluger (R),704910,3910,R,                          August Pfluger
                          Jon Mark Hogg (D),9767,2724,D,                          Jon Mark Hogg
                          Lisa Welch (D),8049,900,D,                          Lisa Welch
                          Chris Putnam (R),455785,2335,R,                          Chris Putnam
                          Kay Granger (R),1030594,23781,R,                          Kay Granger
                          Greg Sagan (D),7672,922,D,                          Greg Sagan
                          Adrienne Bell (D),60312,20037,D,                          Adrienne Bell
                          Sanjanetta Barnes (D),13986,578,D,                          Sanjanetta Barnes
                          Randy Weber (R),318013,7243,R,                          Randy Weber
                          Vicente Gonzalez (D),125984,4495,D,                          Vicente Gonzalez
                          Irene Armendariz-Jackson (R),11010,300,R,                          Irene Armendariz-Jackson
                          Samuel Lee Williams Jr (R),11441,1699,R,                          Samuel Lee Williams Jr
                          Veronica Escobar (D),345528,15834,D,                          Veronica Escobar
                          Rick Kennedy (D),30939,16151,D,                          Rick Kennedy
                          Wendell Champion (R),19288,3289,R,                          Wendell Champion
                          Marc Flores (D),52996,4746,D,                          Marc Flores
                          Bimal Patel (D),43293,13490,D,                          Bimal Patel
                          Jerry Ford (D),50150,150,D,                          Jerry Ford
                          Sheila Jackson Lee (D),282758,2666,D,                          Sheila Jackson Lee
                          Jodey Arrington (R),965292,8310,R,                          Jodey Arrington
                          Dominick Dina (R),8815,815,R,                          Dominick Dina
                          Joaquin Castro (D),168698,52724,D,                          Joaquin Castro
                          Wendy Davis (D),939038,231060,D,                          Wendy Davis
                          Jennie Lou Leeder (D),15697,6268,D,                          Jennie Lou Leeder
                          Chip Roy (R),1227967,234450,R,                          Chip Roy
                          Greg Hill (R),217553,10378,R,                          Greg Hill
                          Keli Chevalier (R),23269,5,R,                          Keli Chevalier
                          Kathaleen Wall (R),601048,250,R,                          Kathaleen Wall
                          Nyanza Moore (D),111936,27463,D,                          Nyanza Moore
                          Felicia Harris (R),211247,2296,R,                          Felicia Harris
                          Sri Kulkarni (D),766039,48748,D,                          Sri Kulkarni
                          Joe Walz (R),14030,470,R,                          Joe Walz
                          Derrick Reed (D),114137,11582,D,                          Derrick Reed
                          Jaime Escuder (D),5598,1424,D,                          Jaime Escuder
                          Alma Arredondo-Lynch (R),37526,16778,R,                          Alma Arredondo-Lynch
                          Gina Jones (D),1618525,173639,D,                          Gina Jones
                          Liz Wahl (D),9001,2451,D,                          Liz Wahl
                          Raul Reyes Jr (R),95267,5710,R,                          Raul Reyes Jr
                          David Fegan (R),40471,2786,R,                          David Fegan
                          Beth Van Duyne (R),346813,8811,R,                          Beth Van Duyne
                          Jeron Liverman (R),5650,0,R,                          Jeron Liverman
                          Deanna Metzger (R),18487,30,R,                          Deanna Metzger
                          Jan McDowell (D),57242,23637,D,                          Jan McDowell
                          Richard Fleming (D),12013,1120,D,                          Richard Fleming
                          John Biggan (D),45893,2198,D,                          John Biggan
                          Crystal Fletcher (D),122402,16468,D,                          Crystal Fletcher
                          Kim Olson (D),562329,189404,D,                          Kim Olson
                          Candace Valenzuela (D),199083,55729,D,                          Candace Valenzuela
                          Stephen Kuzmich (I),37600,1150,I,                          Stephen Kuzmich
                          Heidi Sloan (D),56044,22417,D,                          Heidi Sloan
                          Julie Oliver (D),222996,75708,D,                          Julie Oliver
                          Roger Williams (R),875791,4952,R,                          Roger Williams
                          Jason Mrochek (R),24054,3074,R,                          Jason Mrochek
                          Carol Iannuzzi (D),61320,3110,D,                          Carol Iannuzzi
                          Mat Pruneda (D),11139,2103,D,                          Mat Pruneda
                          Jack Wyman (R),85593,2093,R,                          Jack Wyman
                          Michael Burgess (R),445668,6615,R,                          Michael Burgess
                          Michael Cloud (R),406572,36341,R,                          Michael Cloud
                          Jessica Cisneros (D),463044,241251,D,                          Jessica Cisneros
                          Henry Cuellar (D),1097494,5214,D,                          Henry Cuellar
                          Sylvia Garcia (D),254800,7634,D,                          Sylvia Garcia
                          Eddie Bernice Johnson (D),189422,2306,D,                          Eddie Bernice Johnson
                          Dan Janjigian (D),23265,1940,D,                          Dan Janjigian
                          Murray Holcomb (D),66531,6596,D,                          Murray Holcomb
                          Michael Howard Williams (R),39352,225,R,                          Michael Howard Williams
                          Christine Mann (D),95450,45038,D,                          Christine Mann
                          Donna Imam (D),60441,12991,D,                          Donna Imam
                          Eric Hanke (D),18302,3366,D,                          Eric Hanke
                          Jeremy Bravo (D),9419,1320,D,                          Jeremy Bravo
                          John Carter (R),872706,33106,R,                          John Carter
                          Floyd McLendon (R),46538,4988,R,                          Floyd McLendon
                          Genevieve Collins (R),477588,6950,R,                          Genevieve Collins
                          Jonathon Hollis (R),80489,66464,R,                          Jonathon Hollis
                          Tania Burgess (R),10670,7809,R,                          Tania Burgess
                          Tony Gonzales (R),151792,5544,R,                          Tony Gonzales
                          Colin Allred (D),1674892,84069,D,                          Colin Allred
                          Fabian Cordova Vasquez (R),5928,2045,R,                          Fabian Cordova Vasquez
                          Marc Veasey (D),615644,3633,D,                          Marc Veasey
                          Filemon Vela (D),433628,2818,D,                          Filemon Vela
                          Lloyd Doggett (D),468375,24091,D,                          Lloyd Doggett
                          R J Boatman (R),111996,6295,R,                          R J Boatman
                          Brian Babin (R),520089,26266,R,                          Brian Babin
                          Mark Spencer Yancey (R),20250,250,R,                          Mark Spencer Yancey
                          Cristina Tzintzun Ramirez (D),459183,78787,D,                          Cristina Tzintzun Ramirez
                          Sema Hernandez (D),7551,7551,D,                          Sema Hernandez
                          Chris Bell (D),206173,11478,D,                          Chris Bell
                          Amanda Edwards (D),555184,52391,D,                          Amanda Edwards
                          Royce West (D),549704,25731,D,                          Royce West
                          Jack Daniel Foster Jr (D),6957,25,D,                          Jack Daniel Foster Jr
                          Dwayne Stovall (I),38310,8949,I,                          Dwayne Stovall
                          MJ Hegar (D),2032487,683994,D,                          MJ Hegar
                          John Cornyn (R),13386279,1232119,R,                          John Cornyn
                          Tina Cannon (R),112629,2125,R,                          Tina Cannon
                          Katie Witt (R),82166,10641,R,                          Katie Witt
                          Mary Burkett (R),31250,3598,R,                          Mary Burkett
                          Chris Stewart (R),344805,8869,R,                          Chris Stewart
                          John Curtis (R),254603,1003,R,                          John Curtis
                          Jay Mcfarland (R),52943,3807,R,                          Jay Mcfarland
                          Kim Coleman (R),110872,10672,R,                          Kim Coleman
                          Chris Biesinger (R),34125,3825,R,                          Chris Biesinger
                          Dan Hemmert (R),406875,1475,R,                          Dan Hemmert
                          Kathleen Anderson (R),172352,2717,R,                          Kathleen Anderson
                          Ben McAdams (D),1338792,65428,D,                          Ben McAdams
                          Vangie Williams (D),95273,26802,D,                          Vangie Williams
                          Rob Wittman (R),587641,54212,R,                          Rob Wittman
                          Andy Baan (R),6897,175,R,                          Andy Baan
                          Elaine Luria (D),1312271,124183,D,                          Elaine Luria
                          John Collick (R),5829,0,R,                          John Collick
                          Bobby Scott (D),302770,12420,D,                          Bobby Scott
                          Donald McEachin (D),298102,12862,D,                          Donald McEachin
                          Cameron Webb (D),188665,34048,D,                          Cameron Webb
                          John Lesinski (D),67582,14282,D,                          John Lesinski
                          Roger Dean Huffstetler (D),501427,44200,D,                          Roger Dean Huffstetler
                          Kim Daugherty (D),19148,4564,D,                          Kim Daugherty
                          Denver Riggleman (R),793961,46469,R,                          Denver Riggleman
                          Ben Cline (R),301547,20347,R,                          Ben Cline
                          Tina Ramirez (R),171058,20703,R,                          Tina Ramirez
                          Abigail Spanberger (D),1656671,243932,D,                          Abigail Spanberger
                          Don Beyer (D),743859,40624,D,                          Don Beyer
                          Morgan Griffith (R),272782,13813,R,                          Morgan Griffith
                          Rob Jones (R),102296,23336,R,                          Rob Jones
                          Jeff Dove (R),63145,46075,R,                          Jeff Dove
                          Jennifer Wexton (D),1379785,122887,D,                          Jennifer Wexton
                          Gerry Connolly (D),828216,116499,D,                          Gerry Connolly
                          Victor Williams (R),407224,125,R,                          Victor Williams
                          Daniel Gade (R),136508,19558,R,                          Daniel Gade
                          Thomas Speciale (R),16450,200,R,                          Thomas Speciale
                          Gary Adkins (R),5265,530,R,                          Gary Adkins
                          Scott Taylor (R),311995,99473,R,                          Scott Taylor
                          Mark Warner (D),9123508,615945,D,                          Mark Warner
                          Stacey Plaskett (D),127151,561,D,                          Stacey Plaskett
                          Peter Welch (D),208055,1242,D,                          Peter Welch
                          Suzan DelBene (D),748365,59076,D,                          Suzan DelBene
                          Rick Larsen (D),418365,24942,D,                          Rick Larsen
                          Peter Khalil (D),55884,15130,D,                          Peter Khalil
                          Carolyn Long (D),601438,145367,D,                          Carolyn Long
                          Jaime Herrera Beutler (R),1114808,218563,R,                          Jaime Herrera Beutler
                          Dan Newhouse (R),379018,25328,R,                          Dan Newhouse
                          Cathy McMorris Rodgers (R),1285846,207427,R,                          Cathy McMorris Rodgers
                          Derek Kilmer (D),965881,38913,D,                          Derek Kilmer
                          Pramila Jayapal (D),1078339,238219,D,                          Pramila Jayapal
                          Jesse Jensen (R),6825,275,R,                          Jesse Jensen
                          Kim Schrier (D),1541353,175426,D,                          Kim Schrier
                          Adam Smith (D),584546,10434,D,                          Adam Smith
                          Joshua Collins (D),42640,34562,D,                          Joshua Collins
                          Dennis Heck (D),410891,3366,D,                          Dennis Heck
                          Josh Pade (D),26217,7928,D,                          Josh Pade
                          Bryan Steil (R),1271952,61108,R,                          Bryan Steil
                          Mark Pocan (D),393358,80431,D,                          Mark Pocan
                          Mark Neumann (D),13262,2250,D,                          Mark Neumann
                          Ron Kind (D),748105,44383,D,                          Ron Kind
                          Gwen Moore (D),460046,16155,D,                          Gwen Moore
                          Scott Fitzgerald (R),25543,7293,R,                          Scott Fitzgerald
                          Glenn S Grothman (R),500250,72144,R,                          Glenn S Grothman
                          Tom Tiffany (R),242300,11300,R,                          Tom Tiffany
                          Amanda Stuck (D),52124,24604,D,                          Amanda Stuck
                          Mike Gallagher (R),1382322,26106,R,                          Mike Gallagher
                          Natalie Cline (D),14660,1760,D,                          Natalie Cline
                          David McKinley (R),326187,760,R,                          David McKinley
                          Catherine Kunkel (D),59833,9825,D,                          Catherine Kunkel
                          Alex Mooney (R),761691,29379,R,                          Alex Mooney
                          Carol Miller (R),275765,2020,R,                          Carol Miller
                          Paula Jean Swearengin (D),47460,36155,D,                          Paula Jean Swearengin
                          Shelley Moore Capito (R),2962036,51678,R,                          Shelley Moore Capito
                          Liz Cheney (R),1414142,86174,R,                          Liz Cheney
                          Yana Ludwig (D),10487,4926,D,                          Yana Ludwig
                          Cynthia Lummis (R),305486,38971,R,                          Cynthia Lummis
