name,total,from_small_donors,party,clean_name
                          Darren Soto (D),346980,3655,D,                          Darren Soto
                          Kirk Troen (R),7756,3506,R,                          Kirk Troen
                          Val Demings (D),253607,13107,D,                          Val Demings
                          Dana Cottrell (D),17276,10491,D,                          Dana Cottrell
                          Daniel Webster (R),195831,16286,R,                          Daniel Webster
                          Gus Bilirakis (R),563389,32068,R,                          Gus Bilirakis
                          Anna Paulina Luna (R),55225,33225,R,                          Anna Paulina Luna
                          Matt Becker (R),71325,5505,R,                          Matt Becker
                          Amanda Makki (R),417972,17779,R,                          Amanda Makki
                          George Buck (R),179264,128046,R,                          George Buck
                          Sheila Griffin (R),13225,4288,R,                          Sheila Griffin
                          Charlie Crist (D),1186868,38055,D,                          Charlie Crist
                          Kathy Castor (D),333460,19565,D,                          Kathy Castor
                          Alan Cohn (D),72692,8709,D,                          Alan Cohn
                          Adam Hattersley (D),113439,33809,D,                          Adam Hattersley
                          Ross Spano (R),384091,3872,R,                          Ross Spano
                          Margaret Good (D),446634,81713,D,                          Margaret Good
                          Vernon Buchanan (R),804830,6691,R,                          Vernon Buchanan
                          Greg Steube (R),232788,9343,R,                          Greg Steube
                          Brian Mast (R),1432769,541411,R,                          Brian Mast
                          Alcee L Hastings (D),124331,995,D,                          Alcee L Hastings
                          Laura Loomer (R),154311,88925,R,                          Laura Loomer
                          Aaron Scanlan (R),12615,4115,R,                          Aaron Scanlan
                          Christian Acosta (R),16795,5635,R,                          Christian Acosta
                          Michael Blueming Jr (R),20345,5098,R,                          Michael Blueming Jr
                          Lois J Frankel (D),431271,15808,D,                          Lois J Frankel
                          Omar Reyes (I),8741,325,I,                          Omar Reyes
                          Ted Deutch (D),488396,15983,D,                          Ted Deutch
                          Richard Mendelson (R),5664,1589,R,                          Richard Mendelson
                          Jennifer Perelman (D),39416,4293,D,                          Jennifer Perelman
                          Debbie Wasserman Schultz (D),695075,59798,D,                          Debbie Wasserman Schultz
                          Frederica Wilson (D),110672,85,D,                          Frederica Wilson
                          Mario Diaz-Balart (R),744971,1071,R,                          Mario Diaz-Balart
                          Omar Blanco (R),102556,11656,R,                          Omar Blanco
                          Irina Vilarino (R),373055,14655,R,                          Irina Vilarino
                          Debbie Mucarsel-Powell (D),1556310,129273,D,                          Debbie Mucarsel-Powell
                          Juan Fiol (R),10300,1715,R,                          Juan Fiol
                          Maria Salazar (R),502703,9378,R,                          Maria Salazar
                          Michael Hepburn (D),10300,1030,D,                          Michael Hepburn
                          Donna Shalala (D),946536,19519,D,                          Donna Shalala
                          Daniel Merritt (R),20587,3538,R,                          Daniel Merritt
                          Lisa Ring (D),29184,16718,D,                          Lisa Ring
                          Buddy Carter (R),934906,44806,R,                          Buddy Carter
                          Sanford Bishop (D),519385,3761,D,                          Sanford Bishop
                          Drew Ferguson (R),954700,26349,R,                          Drew Ferguson
                          William Haston (D),5721,2911,D,                          William Haston
                          Hank Johnson (D),183463,913,D,                          Hank Johnson
                          John Lewis (D),1409249,785342,D,                          John Lewis
                          Brandon Beach (R),523132,10196,R,                          Brandon Beach
                          Nicole Rodden (R),162741,6302,R,                          Nicole Rodden
                          Marjorie Taylor Greene (R),625442,23578,R,                          Marjorie Taylor Greene
                          Karen Handel (R),700039,81971,R,                          Karen Handel
                          Lucy McBath (D),1671874,448060,D,                          Lucy McBath
                          Zahra S. Karinshak (D),208974,12619,D,                          Zahra S. Karinshak
                          Renee Unterman (R),805747,5935,R,                          Renee Unterman
                          Marqus Cole (D),60718,11803,D,                          Marqus Cole
                          Nabilah Islam (D),311377,84735,D,                          Nabilah Islam
                          John Eaves (D),116887,26713,D,                          John Eaves
                          Carolyn Bourdeaux (D),843086,137042,D,                          Carolyn Bourdeaux
                          Lynne Homrich (R),669171,7061,R,                          Lynne Homrich
                          Mark Gonsalves (R),230215,6672,R,                          Mark Gonsalves
                          Ben Bullock (R),237109,5073,R,                          Ben Bullock
                          Lerah Lee (R),302520,239490,R,                          Lerah Lee
                          Richard McCormick (R),510024,1825,R,                          Richard McCormick
                          Brenda Lopez Romero (D),104383,15545,D,                          Brenda Lopez Romero
                          Austin Scott (R),376450,4900,R,                          Austin Scott
                          Doug Collins (R),862651,110673,R,                          Doug Collins
                          Jody Hice (R),236615,15216,R,                          Jody Hice
                          Barry Loudermilk (R),245441,5785,R,                          Barry Loudermilk
                          Richard W Allen (R),460507,32247,R,                          Richard W Allen
                          Jannquell Peters (D),11252,5702,D,                          Jannquell Peters
                          Michael Owens (D),45530,2069,D,                          Michael Owens
                          David Scott (D),452802,200,D,                          David Scott
                          Tom Graves (R),695810,374,R,                          Tom Graves
                          Jon Ossoff (D),1343249,202116,D,                          Jon Ossoff
                          Ted Terry (D),88113,46903,D,                          Ted Terry
                          Teresa Tomlinson (D),928408,83429,D,                          Teresa Tomlinson
                          Sarah Riggs Amico (D),710770,29697,D,                          Sarah Riggs Amico
                          David Perdue (R),8791345,193493,R,                          David Perdue
                          Michael San Nicolas (D),13528,7775,D,                          Michael San Nicolas
                          Ed Case (D),196518,16868,D,                          Ed Case
                          Kai Kahele (D),496328,109125,D,                          Kai Kahele
                          Ashley Hinson (R),655520,19364,R,                          Ashley Hinson
                          Abby Finkenauer (D),1283870,112266,D,                          Abby Finkenauer
                          Rita Hart (D),508176,78862,D,                          Rita Hart
                          Bobby Schilling (R),54506,10347,R,                          Bobby Schilling
                          Bill Schafer (R),11703,1064,R,                          Bill Schafer
                          David Young (R),678208,64790,R,                          David Young
                          Cindy Axne (D),1463889,162485,D,                          Cindy Axne
                          Steven Reeder (R),6462,125,R,                          Steven Reeder
                          Bret Richards (R),185859,9271,R,                          Bret Richards
                          Jeremy Taylor (R),107069,10281,R,                          Jeremy Taylor
                          Randy Feenstra (R),531200,39401,R,                          Randy Feenstra
                          Steven A. King (R),215348,107789,R,                          Steven A. King
                          Michael Franken (D),150315,23267,D,                          Michael Franken
                          Theresa Greenfield (D),1741123,324602,D,                          Theresa Greenfield
                          Kimberly Graham (D),31830,19530,D,                          Kimberly Graham
                          Eddie J. Mauro (D),1238304,17939,D,                          Eddie J. Mauro
                          Suzanne Herzog (I),11391,180,I,                          Suzanne Herzog
                          Joni Ernst (R),6511901,842545,R,                          Joni Ernst
                          Russ Fulcher (R),162937,3587,R,                          Russ Fulcher
                          Mike Simpson (R),351347,5087,R,                          Mike Simpson
                          Nancy Harris (D),15410,6739,D,                          Nancy Harris
                          James E Risch (R),1318281,30783,R,                          James E Risch
                          Sarah Gad (D),24340,1575,D,                          Sarah Gad
                          Robert Emmons Jr. (D),52387,29017,D,                          Robert Emmons Jr.
                          Bobby L Rush (D),146529,259,D,                          Bobby L Rush
                          Robin Kelly (D),647114,36707,D,                          Robin Kelly
                          Mike Fricilone (R),6550,300,R,                          Mike Fricilone
                          Marie Newman (D),882304,343954,D,                          Marie Newman
                          Rush Darwish (D),423464,20990,D,                          Rush Darwish
                          Daniel Lipinski (D),667813,11005,D,                          Daniel Lipinski
                          Jesus Garcia (D),313238,23266,D,                          Jesus Garcia
                          Brian Burns (D),5791,1615,D,                          Brian Burns
                          Mike Quigley (D),498481,9577,D,                          Mike Quigley
                          Jeanne Ives (R),335127,54611,R,                          Jeanne Ives
                          Evelyn Sanguinetti (R),142490,25246,R,                          Evelyn Sanguinetti
                          Sean Casten (D),1736860,283125,D,                          Sean Casten
                          Anthony Clark (D),15342,10397,D,                          Anthony Clark
                          Tracy Jennings (3),11952,4109,3,                          Tracy Jennings
                          Kina Collins (D),43887,20734,D,                          Kina Collins
                          Kristine Schanbacher (D),165222,22792,D,                          Kristine Schanbacher
                          Danny K Davis (D),141674,1724,D,                          Danny K Davis
                          Raja Krishnamoorthi (D),2618032,75441,D,                          Raja Krishnamoorthi
                          Andrew Heldut (D),5069,184,D,                          Andrew Heldut
                          Jan Schakowsky (D),939305,193252,D,                          Jan Schakowsky
                          Valerie Ramirez Mukherjee (R),108986,336,R,                          Valerie Ramirez Mukherjee
                          Brad Schneider (D),1483215,146884,D,                          Brad Schneider
                          Rachel Ventura (D),18299,8427,D,                          Rachel Ventura
                          Bill Foster (D),744535,71528,D,                          Bill Foster
                          Joel David Funk (D),16218,2027,D,                          Joel David Funk
                          Mike Bost (R),847891,38737,R,                          Mike Bost
                          Betsy Dirksen Londrigan (D),887021,143242,D,                          Betsy Dirksen Londrigan
                          Rodney Davis (R),1504629,95211,R,                          Rodney Davis
                          Catalina Lauf (R),100058,36823,R,                          Catalina Lauf
                          James Marter (R),33699,5534,R,                          James Marter
                          Jim Oberweis (R),745895,5182,R,                          Jim Oberweis
                          Matt Quigley (R),8647,1813,R,                          Matt Quigley
                          Ted Gradel (R),566160,22538,R,                          Ted Gradel
                          Sue Rezin (R),245523,5013,R,                          Sue Rezin
                          Lauren A Underwood (D),1684480,313744,D,                          Lauren A Underwood
                          Adam Kinzinger (R),947826,42534,R,                          Adam Kinzinger
                          Esther Joy King (R),123069,9767,R,                          Esther Joy King
                          Cheri Bustos (D),1475799,156553,D,                          Cheri Bustos
                          Darin LaHood (R),1178654,81274,R,                          Darin LaHood
                          Mark Curran (R),29950,3125,R,                          Mark Curran
                          Thomas Tarter (R),83748,3623,R,                          Thomas Tarter
                          Peggy Hubbard (R),98674,80334,R,                          Peggy Hubbard
                          Dick Durbin (D),5801164,1242169,D,                          Dick Durbin
                          Pat Hackett (D),112416,20571,D,                          Pat Hackett
                          Jackie Walorski (R),803781,4438,R,                          Jackie Walorski
                          Chris Magiera (R),45170,170,R,                          Chris Magiera
                          Jim Banks (R),494250,45151,R,                          Jim Banks
                          Jim Baird (R),123630,2172,R,                          Jim Baird
                          Steve Braun (R),46600,0,R,                          Steve Braun
                          Kelly Mitchell (R),102651,2342,R,                          Kelly Mitchell
                          Dee Thornton (D),38074,16890,D,                          Dee Thornton
                          Jennifer Christie (D),8841,4037,D,                          Jennifer Christie
                          Micah Beckwith (R),85783,10143,R,                          Micah Beckwith
                          Christina Hale (D),325468,35333,D,                          Christina Hale
                          Greg Pence (R),885697,425616,R,                          Greg Pence
                          Andre Carson (D),390484,6376,D,                          Andre Carson
                          Larry Bucshon (R),354110,11710,R,                          Larry Bucshon
                          Trey Hollingsworth (R),567202,5911,R,                          Trey Hollingsworth
                          Kali Barnett (D),60332,16844,D,                          Kali Barnett
                          Bill Clifford (R),390141,2350,R,                          Bill Clifford
                          Jake Laturner (R),540122,1230,R,                          Jake Laturner
                          Abbie Hodgson (D),68662,115,D,                          Abbie Hodgson
                          Steve Watkins (R),613308,12246,R,                          Steve Watkins
                          Amanda Adkins (R),295978,2978,R,                          Amanda Adkins
                          Sara Hart Weir (R),260480,9459,R,                          Sara Hart Weir
                          Sharice Davids (D),1554605,228813,D,                          Sharice Davids
                          Ron Estes (R),851249,15866,R,                          Ron Estes
                          Bryan Pruitt (R),6490,1465,R,                          Bryan Pruitt
                          Susan Wagle (R),522887,1566,R,                          Susan Wagle
                          Usha Reddi (D),61004,9795,D,                          Usha Reddi
                          Jake Laturner (R),509467,8617,R,                          Jake Laturner
                          Dave Lindstrom (R),359753,7664,R,                          Dave Lindstrom
                          Kris Kobach (R),249539,53539,R,                          Kris Kobach
                          Roger Marshall (R),1492228,17041,R,                          Roger Marshall
                          James Comer (R),269742,4792,R,                          James Comer
                          Brett Guthrie (R),605524,15327,R,                          Brett Guthrie
                          John A Yarmuth (D),184878,1156,D,                          John A Yarmuth
                          Thomas Massie (R),120029,2884,R,                          Thomas Massie
                          Hal Rogers (R),206390,100,R,                          Hal Rogers
                          Josh Hicks (D),120874,12814,D,                          Josh Hicks
                          Andy Barr (R),1391604,26201,R,                          Andy Barr
                          Amy McGrath (D),10689278,7063667,D,                          Amy McGrath
                          Steven Cox (D),10125,4786,D,                          Steven Cox
                          Clinton Wesley Morgan (R),17477,1362,R,                          Clinton Wesley Morgan
                          Michael Broihier (D),59555,19125,D,                          Michael Broihier
                          Mitch McConnell (R),12817475,1559897,R,                          Mitch McConnell
                          Steve Scalise (R),8803523,3731002,R,                          Steve Scalise
                          Cedric Richmond (D),554096,1492,D,                          Cedric Richmond
                          Clay Higgins (R),267605,9062,R,                          Clay Higgins
                          Mike Johnson (R),481814,29700,R,                          Mike Johnson
                          Ralph Abraham (R),18416,1100,R,                          Ralph Abraham
                          Garret Graves (R),616783,3430,R,                          Garret Graves
                          Bill Cassidy (R),6758513,176185,R,                          Bill Cassidy
                          Alex Morse (D),216854,74706,D,                          Alex Morse
                          John Cain (R),9401,355,R,                          John Cain
                          Richard E Neal (D),2061352,6345,D,                          Richard E Neal
